CompanyID,Year,Quarter,Price_To_Earnings_Ratio,Price_To_Book_Ratio,Debt_To_Equity_Ratio,Dividend_Yield,Free_Cash_Flow
796343,2016,4,43.808510638297875,6.8531420967604,0.7114338567793089,0.0,2199728000.0
796343,2017,1,49.10566037735848,8.481550776220928,0.7189769248710911,0.0,699467000.0
796343,2017,2,48.43835616438356,8.960001558175694,0.7125709155742992,0.0,1288997000.0
796343,2017,3,46.185758513931894,8.999147820054601,0.702090121528428,0.0,1939195000.0
796343,2017,4,51.09037900874635,10.176133091422574,0.7181774327711221,0.0,2734731000.0
796343,2018,1,56.86315789473685,12.335089763433707,0.7342409591444456,0.0,894459000.0
796343,2018,2,55.537585421412295,13.776624993409401,0.7418022434568713,0.0,1825549000.0
796343,2018,3,53.777551020408154,14.54065957114284,0.7372771717205912,0.0,2717295000.0
796343,2018,4,47.51704545454545,13.068605025531626,1.0047482865515203,0.0,3762725000.0
796343,2019,1,48.62956204379562,13.187623843828968,0.9759474891568999,0.0,948180000.0
796343,2019,2,49.889502762430936,13.263736172674687,0.9801164816512149,0.0,1912016000.0
796343,2019,3,49.914035087719306,13.495233613006947,0.95795415948396,0.0,2745030000.0
796343,2019,4,50.99341021416803,14.178175978416272,0.9717088684829426,0.0,4027334000.0
796343,2020,1,51.742128935532236,15.928615384615384,1.0271380793119924,0.0,1231000000.0
796343,2020,2,50.5359477124183,17.107609594706368,0.9853873724841467,0.0,2319000000.0
796343,2020,3,64.09363295880149,21.04754358405191,0.9136002732007171,0.0,3629000000.0
796343,2020,4,43.73583180987203,17.34742332629674,0.8308202653799759,0.0,5308000000.0
796343,2021,1,41.01553062985332,16.809554850140263,0.8444559279492101,0.0,1713000000.0
796343,2021,2,50.26952789699571,20.200605833092695,0.8468091250360958,0.0,3606000000.0
796343,2021,3,47.19016393442624,19.04021950881088,0.8137921465242126,0.0,4915000000.0
796343,2021,4,56.144554455445544,18.291392714739473,0.840981279989187,0.0,6882000000.0
796343,2022,1,44.888669950738915,15.631652413793104,0.8857350272232305,0.0,1669000000.0
796343,2022,2,35.505334626576136,15.731287808366107,0.882445477297104,0.0,3583000000.0
796343,2022,3,27.006869479882237,8.941654491059627,0.8607110554511932,0.0,5162000000.0
796343,2022,4,33.22112537018756,11.244810689630631,0.9333143548501885,0.0,7396000000.0
796343,2023,1,37.89282202556538,12.451417006898494,0.8771645783471772,0.0,1592000000.0
796343,2023,2,46.570476190476185,15.086913465426607,0.8761288583367031,0.0,1295000000.0
796343,2023,3,45.730941704035864,14.751417342799188,0.8439401622718052,0.0,5392000000.0
796343,2023,4,50.261162594776756,16.433769221455382,0.8028211647899262,0.0,6942000000.0
796343,2024,1,47.96577946768061,14.78549805950841,0.8597024579560155,0.0,1137000000.0
796343,2024,2,39.74620196604111,13.45696395607357,1.0216263558579801,0.0,3036000000.0
796343,2024,3,48.269747899159675,17.58575269852183,1.0508765898934342,0.0,5000000000.0
