,Unnamed: 0,CompanyID,Year,Quarter,Price_To_Earnings_Ratio,Price_To_Book_Ratio,Debt_To_Equity_Ratio,Dividend_Yield,Free_Cash_Flow
0,0,310158,2016,4,14.55329192546584,3.8134721297303096,1.2370725936710876,2.2985311167096,5681000000.0
1,1,310158,2017,1,27.15841463414634,3.9526514699110735,1.3662052198074823,3.2160985602115,8762000000.0
2,2,310158,2017,2,27.053184357541895,4.321042543243723,1.4087258032328875,0.7470184777690001,-53000000.0
3,3,310158,2017,3,23.886990291262137,4.432394450739283,1.3369258662369057,1.4776793011177,2871000000.0
4,4,310158,2017,4,39.60848,4.6002374512671285,1.3812566560170394,2.1930549968478,1259000000.0
5,5,310158,2018,1,35.10648,4.54090056311372,1.5419306314906418,3.2916197020699,4559000000.0
6,6,310158,2018,2,44.63697916666667,4.521525960089171,1.5380077283855933,0.8474451789207,705000000.0
7,7,310158,2018,3,54.0729213483146,5.253853057617585,1.5953732527620097,1.5161394853123,3504000000.0
8,8,310158,2018,4,314.60722222222216,6.203113316952309,1.6068716315531602,1.9228028616921,5644000000.0
9,9,310158,2019,1,26.25405982905983,8.174896448266832,2.0740644297299307,2.3535025831212,8307000000.0
10,10,310158,2019,2,21.0378125,8.703078648520492,1.9762920130104809,0.5929883212058,741000000.0
11,11,310158,2019,3,18.978416666666668,8.811188663559166,2.0271839059739696,1.1849624017733,3043000000.0
12,12,310158,2019,4,13.618915187376723,9.173314253545172,2.094930362116992,1.7369019736955,6310000000.0
13,13,310158,2020,1,19.560182291666667,10.333455649832477,2.2459136187069726,2.1196204322008,9967000000.0
14,14,310158,2020,2,16.091959798994978,8.710995139544185,2.228631178707224,0.6769993908354001,-279000000.0
15,15,310158,2020,3,15.710702179176758,8.365811614968079,2.266111591695502,1.3476887028808,2420000000.0
16,16,310158,2020,4,15.407758241758245,8.56760900378772,2.0679877007174583,1.863431445779,3077000000.0
17,17,310158,2021,1,19.2521546961326,9.813350666747034,2.6052590143284524,2.4929967415639998,5569000000.0
18,18,310158,2021,2,18.35240997229917,8.76478338548942,2.359850586190318,0.6941192505125,657000000.0
19,19,310158,2021,3,23.31623762376238,7.569064485532539,1.716185455852402,1.3129366498909,-1017000000.0
20,20,310158,2021,4,18.70839673913044,6.867035341961961,1.6069765496472688,2.0168716493192,-2189000000.0
21,21,310158,2022,1,14.530081967213116,6.629922994844071,1.762736231277936,2.6060459223146,-3461000000.0
22,22,310158,2022,2,14.39577067669173,6.68947969096601,1.6046443483993846,0.6369676414725,3777000000.0
23,23,310158,2022,3,13.683094098883574,7.084593990095249,1.4722978900226231,1.1453598788513,-2113000000.0
24,24,310158,2022,4,14.230662020905925,6.562575781399874,1.4050175186416314,1.8008698955759999,-3239000000.0
25,25,310158,2023,1,18.485794066317624,8.226576981695237,1.3700551478570495,1.8506217665477,14707000000.0
26,26,310158,2023,2,19.895603112840465,7.798886436663358,1.2981771666133677,0.5065515896689999,332000000.0
27,27,310158,2023,3,90.77999999999994,10.309669944876537,1.6965308967012545,0.9358634758652,3071000000.0
28,28,310158,2023,4,55.106318681318655,8.686688428176925,1.5841888619854725,1.5589799258171,9886000000.0
29,29,310158,2024,1,169.80825396825395,10.168079529712832,1.83446260130198,1.9455117017694,-3863000000.0
30,30,310158,2024,2,93.07664285714286,11.530840633591692,1.6184692262022562,0.4183447818751,2229000000.0
31,31,310158,2024,3,76.8731875,10.080034815015262,1.580416055718475,0.8945996192875,7075000000.0
32,32,310158,2024,4,115.87755102040816,9.116155205527829,1.6376122082585278,1.4497217732091,15583000000.0
